analysis_schema_version,grouping_kind,grouping_value,n,mean,lo,hi
1,legacy_footprint_bracket,0-1B,630,0.6155428571428572,0.47027142857142856,0.7588301587301588
1,legacy_footprint_bracket,1-2B,660,0.7027106060606061,0.5529363636363637,0.8460454545454545
1,legacy_footprint_bracket,2-3B,570,0.7667333333333334,0.6269614035087719,0.9006596491228072
1,legacy_footprint_bracket,3-4B,720,0.7542055555555556,0.6224805555555556,0.8810694444444445
1,legacy_footprint_bracket,4-5GB,120,0.7979666666666667,0.6590583333333333,0.930625
