analysis_schema_version,model,parameter_tier,legacy_footprint_bracket,judge_score_fraction,safety_fraction,quality_safety_pareto
1,hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,T4,3-4B,0.5294736842105263,0.7972666666666667,False
1,qwen2.5-coder:3b,T4,2-3B,0.5294736842105263,0.7834,False
1,phi3.5:3.8b,T4,3-4B,0.5336842105263159,0.7861333333333334,False
1,llama3.2:3b,T4,3-4B,0.5336842105263159,0.8000666666666666,False
1,granite3.2:2b-instruct-q4_K_M,T3,2-3B,0.5368421052631579,0.7889666666666667,False
1,granite3.2:2b,T3,2-3B,0.5389473684210526,0.7889666666666667,False
1,qwen2.5-coder:3b-instruct-q8_0,T4,2-3B,0.5494736842105263,0.7834,False
1,granite3.1-dense:2b,T3,2-3B,0.5515789473684211,0.7973,False
1,hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,T5,3-4B,0.5515789473684211,0.8417,False
1,qwen2.5:3b-instruct-q4_K_M,T4,2-3B,0.5526315789473685,0.7806333333333334,False
1,gemma3:4b-it-q8_0,T5,3-4B,0.5536842105263158,0.8000666666666666,False
1,phi4-mini,T4,3-4B,0.5547368421052632,0.7611666666666667,False
1,gemma3:4b-it-qat,T5,3-4B,0.5557894736842105,0.8056,False
1,qwen2.5:3b,T4,2-3B,0.5652631578947369,0.7806333333333334,False
1,qwen2.5:3b-instruct-q8_0,T4,2-3B,0.5663157894736842,0.8444666666666667,False
1,hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,T4,2-3B,0.5673684210526315,0.7695000000000001,False
1,phi3.5:3.8b-mini-instruct-q8_0,T4,3-4B,0.58,0.7611666666666667,False
1,granite3.3:2b,T3,2-3B,0.5842105263157895,0.8000666666666666,False
1,gemma3:4b-it-q4_K_M,T5,3-4B,0.5863157894736842,0.8639,False
1,gemma3:4b,T5,3-4B,0.5863157894736842,0.8639,False
1,granite3.1-dense:2b-instruct-q8_0,T3,2-3B,0.5894736842105263,0.7612,False
1,ministral-3:3b,T4,2-3B,0.5936842105263158,0.8222666666666666,False
1,qwen3:1.7b,T3,1-2B,0.6147368421052631,0.8361333333333333,False
1,granite4:micro,T4,2-3B,0.6147368421052631,0.7917333333333333,False
1,qwen3:1.7b-q8_0,T3,1-2B,0.6210526315789474,0.8278,False
1,qwen3:1.7b-fp16,T3,1-2B,0.6263157894736842,0.8083666666666667,False
1,granite4:tiny-h,,4-5GB,0.6347368421052632,0.7417333333333332,False
1,qwen2.5:7b,,4-5GB,0.6642105263157895,0.8361666666666667,False
1,qwen3:4b-instruct-2507-q4_K_M,T5,3-4B,0.6863157894736842,0.9083333333333333,False
1,qwen3:4b-q8_0,T5,3-4B,0.7094736842105264,0.8278333333333333,False
1,qwen3:4b-instruct-2507-q8_0,T5,4-5GB,0.7126315789473685,0.9083333333333333,True
1,hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,T5,3-4B,0.7136842105263158,0.8028333333333334,True
