analysis_schema_version,grouping_kind,grouping_value,n,mean,lo,hi
1,legacy_footprint_bracket,0-1B,1995,0.32150375939849624,0.29167794486215537,0.35428696741854643
1,legacy_footprint_bracket,1-2B,2375,0.38303157894736845,0.3431157894736842,0.4243789473684211
1,legacy_footprint_bracket,2-3B,1900,0.513,0.4543144736842105,0.5728434210526316
1,legacy_footprint_bracket,3-4B,2280,0.5214035087719299,0.4654375,0.5770614035087719
1,legacy_footprint_bracket,4-5GB,475,0.5677894736842105,0.5056842105263158,0.627578947368421
