analysis_schema_version,grouping_kind,grouping_value,n,mean,lo,hi
1,training_regime,instruct,2700,0.713852962962963,0.5769203703703704,0.8466188888888889
1,training_regime,reasoning,120,0.4722166666666667,0.29996645833333335,0.633325
