model,cluster,quality,safety,det_score,decode_tps,wall_s,membw_peak_mb_s,quality_sd,trunc_rate,dnf_rate,size_gb,params_b
deepseek-coder:1.3b,1,1.4789473684210526,1.8166666666666667,0.6394842105263158,21.24757894736842,19.074105263157893,17120.462105263156,0.647892612726816,0.37894736842105264,0.0,1.74,1.346471936
deepseek-coder:1.3b-instruct-q8_0,1,1.5052631578947369,1.65,0.6802105263157895,13.458631578947367,29.662,19137.36,0.6704029307704927,0.4,0.0,2.4,1.346471936
deepseek-r1:1.5b,1,1.2578947368421052,1.2166666666666666,0.44805263157894737,13.330526315789475,37.56431578947369,13439.914736842104,0.4939159518837147,0.6,0.0,1.38,1.777088
deepseek-r1:1.5b-qwen-distill-q8_0,1,1.4052631578947368,1.45,0.4721157894736842,11.632631578947368,42.85136842105263,19411.277894736842,0.6891821272198542,0.5894736842105263,0.0,2.16,1.777088
deepseek-r1:7b,2,1.5894736842105264,1.8833333333333333,0.39222105263157897,3.7025,128.85442105263158,16225.134736842107,0.8659607484852496,0.14736842105263157,0.7473684210526316,5.22,7.615616512
falcon3:1b,1,1.7052631578947368,2.1333333333333333,0.6303684210526316,13.255376344086022,30.25494736842105,16770.36842105263,0.8520773640148631,0.3894736842105263,0.0,2.24,1.669408768
falcon3:1b-instruct-q8_0,1,1.7052631578947368,2.1,0.6303684210526316,13.259784946236561,30.291999999999998,16715.305263157894,0.8363253491229751,0.3894736842105263,0.0,2.24,1.669408768
falcon3:3b,1,2.0789473684210527,2.15,0.6391052631578947,11.25554347826087,20.44494736842105,14399.941052631579,1.0450384027191988,0.021052631578947368,0.0,2.56,3.227655168
falcon3:3b-instruct-q4_K_M,1,2.0473684210526315,2.1166666666666667,0.6391052631578947,10.885760869565217,21.178526315789473,14013.147368421052,1.0107762032392307,0.021052631578947368,0.0,2.56,3.227655168
falcon3:3b-instruct-q8_0,0,2.336842105263158,2.45,0.6944105263157894,6.970989010989011,31.789263157894737,,1.0222058575597985,0.0,0.0,3.99,3.227655168
gemma2:2b,0,2.5631578947368423,3.183333333333333,0.7870526315789473,8.373684210526315,30.062736842105263,13744.628421052632,0.9116331652564647,0.0,0.0,1.96,2.614341888
gemma2:2b-instruct-q8_0,0,2.626315789473684,3.183333333333333,0.7719684210526316,7.08,30.64505263157895,19692.92,0.8750939799154206,0.0,0.0,3.11,2.614341888
gemma3:1b,1,1.9263157894736842,2.45,0.6465263157894737,19.261473684210525,7.958842105263158,15119.254736842106,0.7854000913365397,0.0,0.0,0.95,0.999885952
gemma3:1b-it-q8_0,1,1.8578947368421053,2.216666666666667,0.6194736842105263,16.13905263157895,9.057684210526316,16924.403157894736,0.8557165651462062,0.0,0.0,1.21,0.999885952
gemma3:1b-it-qat,1,2.026315789473684,2.5,0.6487894736842105,17.448,7.388736842105263,17094.01789473684,0.8913545186622045,0.0,0.0,1.14,0.999885952
gemma3:4b,0,2.931578947368421,3.3833333333333333,0.8214105263157896,7.5712631578947365,22.418526315789475,18711.242105263158,0.8950529709624271,0.0,0.0,2.94,4.299915632
gemma3:4b-it-q4_K_M,0,2.931578947368421,3.4,0.8214105263157896,7.49621052631579,22.77957894736842,18471.930526315788,0.9156166574401422,0.0,0.0,2.94,4.299915632
gemma3:4b-it-q8_0,0,2.768421052631579,3.3666666666666667,0.761263157894737,5.160631578947369,29.117578947368422,21008.116842105264,1.0231639661753784,0.0,0.0,4.58,4.299915632
gemma3:4b-it-qat,0,2.778947368421053,3.3333333333333335,0.7786105263157895,5.050210526315789,34.443684210526314,15674.519999999999,0.9245924619012982,0.0,0.0,3.6,4.300079472
gemma:2b,1,1.868421052631579,2.2,0.582821052631579,11.491052631578949,14.620526315789474,18807.293684210526,0.8574161031962001,0.010526315789473684,0.0,2.0,2.50643456
gemma:2b-instruct-q8_0,1,1.7894736842105263,1.9333333333333333,0.5991473684210527,7.9241052631578945,20.158105263157896,20610.68105263158,0.7493931849014291,0.010526315789473684,0.0,2.99,2.50643456
granite3.1-dense:2b,0,2.7578947368421054,3.15,0.8323052631578948,10.571263157894737,27.590105263157895,17041.55157894737,0.9644289399904762,0.0,0.0,2.07,2.533531648
granite3.1-dense:2b-instruct-q8_0,0,2.9473684210526314,3.1333333333333333,0.8510842105263158,8.128947368421052,34.82547368421053,,0.9797787532780756,0.0,0.0,3.19,2.533531648
granite3.1-moe:3b,1,2.110526315789474,2.25,0.7993263157894738,24.79115789473684,11.253263157894736,14891.76,0.9762579102259993,0.031578947368421054,0.0,2.46,3.298793472
granite3.2:2b,0,2.694736842105263,3.1,0.8388000000000001,10.82378947368421,35.15178947368421,17490.68105263158,0.973846117103946,0.1368421052631579,0.0,2.04,2.533531648
granite3.2:2b-instruct-q4_K_M,0,2.6842105263157894,3.0833333333333335,0.8388000000000001,10.556947368421053,36.02494736842105,16987.497894736844,0.9594231189441983,0.1368421052631579,0.0,2.04,2.533531648
granite3.3:2b,0,2.9210526315789473,3.25,0.8340631578947368,10.754315789473685,25.89915789473684,16981.404210526314,0.9089267387140639,0.0,0.0,2.04,2.53353984
granite4:1b-h,1,2.263157894736842,2.6666666666666665,0.6582631578947369,9.321263157894737,12.274631578947368,15249.164210526316,1.0075304368538993,0.0,0.0,1.75,1.461538368
granite4:micro,0,3.0736842105263156,3.2666666666666666,0.8638842105263158,6.973052631578948,33.35421052631579,14850.203157894737,0.8659284190253255,0.0,0.0,2.6,3.40283648
granite4:tiny-h,0,3.1736842105263157,3.466666666666667,0.8407263157894737,13.111263157894737,23.466526315789476,15062.162105263156,0.9805784795391309,0.021052631578947368,0.0,4.43,6.939037248
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,1,2.163157894736842,2.283333333333333,0.7645894736842105,17.407894736842106,13.978947368421053,17146.65684210526,0.9004789070478408,0.031578947368421054,0.0,1.38,1.777088
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,0,2.836842105263158,3.1166666666666667,0.8061578947368421,9.518,29.70021052631579,18464.37789473684,0.9465562027776255,0.09473684210526316,0.0,2.44,3.397103616
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,0,2.7578947368421054,3.5833333333333335,0.8133578947368422,6.964421052631579,75.94452631578947,18633.71157894737,1.0515013529162813,0.968421052631579,0.0,3.32,4.022468096
hf.co/unsloth/DeepSeek-R1-Distill-Qwen-1.5B-GGUF:Q4_K_M,1,1.4473684210526316,1.5666666666666667,0.5124631578947368,17.070526315789476,28.415473684210525,17345.383157894736,0.6898723448462407,0.5473684210526316,0.0,1.38,1.777088
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,1,1.8105263157894738,2.2333333333333334,0.6616000000000001,21.713578947368422,6.0691578947368425,17100.49052631579,0.8353205123440133,0.0,0.0,1.09,1.235814432
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,0,2.6473684210526316,2.8,0.8279157894736843,7.557263157894736,33.32610526315789,19157.617894736843,0.9616964294393617,0.05263157894736842,0.0,3.21,3.836021856
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,0,3.568421052631579,3.7333333333333334,0.8682631578947368,7.401473684210526,28.32484210526316,18631.962105263156,0.8461757724314398,0.0,0.0,3.32,4.022468096
internlm2:1.8b,1,1.6105263157894736,1.8,0.6167157894736842,17.127173913043478,10.624526315789474,16642.034736842106,0.8127277008872488,0.05263157894736842,0.0,1.68,1.889110016
llama3.2:1b,1,1.7842105263157895,2.066666666666667,0.6110947368421052,11.713052631578947,10.759263157894736,14883.081052631578,0.8336430928586861,0.0,0.0,1.6,1.235814432
llama3.2:1b-instruct-q8_0,1,1.7789473684210526,2.05,0.6110947368421052,14.94,8.270631578947368,18907.957894736843,0.8496425702614295,0.0,0.0,1.6,1.235814432
llama3.2:3b,0,2.668421052631579,3.216666666666667,0.8002,7.260736842105263,24.589263157894738,14549.002105263158,1.0783422223432793,0.0,0.0,2.67,3.212749888
llama3.2:3b-instruct-q8_0,0,2.6315789473684212,2.933333333333333,0.7747578947368422,6.184842105263157,27.598105263157898,21045.035789473684,0.9459053029269174,0.0,0.0,4.07,3.212749888
ministral-3:3b,0,2.968421052631579,3.35,0.8758105263157895,5.931263157894737,52.862,13027.3,0.975253721258559,0.07368421052631578,0.0,2.85,3.849090048
mistral:7b-instruct-q4_K_M,0,2.5473684210526315,2.9833333333333334,0.7621263157894737,3.7626436781609196,77.76336842105263,16050.682105263159,1.0917331629075673,0.0,0.08421052631578947,5.18,7.241732096
nemotron-mini:4b,1,1.8210526315789475,2.066666666666667,0.643,8.184947368421051,24.782421052631577,18462.856842105262,0.8216349472619514,0.031578947368421054,0.0,3.02,4.190509056
nemotron-mini:4b-instruct-q4_K_M,1,1.7894736842105263,1.95,0.643,8.27757894736842,24.57284210526316,18721.644210526316,0.7941908345901005,0.031578947368421054,0.0,3.02,4.190509056
nemotron-mini:4b-instruct-q8_0,0,1.8473684210526315,2.2333333333333334,0.6659684210526317,5.875157894736842,41.61284210526316,21576.063157894736,0.8904746648722777,0.021052631578947368,0.0,4.78,4.190509056
phi3.5:3.8b,0,2.668421052631579,3.1666666666666665,0.7954526315789473,8.408842105263158,47.72642105263158,19051.858947368422,1.0584274925562354,0.37894736842105264,0.0,4.04,3.821079648
phi3.5:3.8b-mini-instruct-q8_0,0,2.9,3.3333333333333335,0.8526631578947368,5.249894736842105,72.72884210526315,21754.883157894736,0.9962696379441469,0.29473684210526313,0.0,5.93,3.821079648
phi3:3.8b,0,2.3263157894736843,2.8333333333333335,0.7426631578947368,8.520526315789475,32.582631578947364,18807.14210526316,0.9832869893736232,0.11578947368421053,0.0,4.04,3.821079648
phi3:3.8b-mini-128k-instruct-q8_0,0,2.363157894736842,3.033333333333333,0.7761684210526316,5.336736842105263,42.844421052631574,21554.085263157896,1.050435839795766,0.07368421052631578,0.0,5.93,3.821079648
phi4-mini,0,2.7736842105263158,3.05,0.8244105263157895,5.993157894736842,39.90242105263158,14896.452631578948,1.0563093645728086,0.010526315789473684,0.0,,3.836021856
phi4-mini-reasoning,0,2.336842105263158,2.8,0.8038842105263158,6.151684210526316,85.91736842105263,20276.094736842104,1.0064740044395293,0.9894736842105263,0.0,,3.836021856
phi:2.7b,2,1.0,1.0,0.16831578947368422,,2.142105263157895,4938.091578947368,0.0,0.0,1.0,,
qwen2.5-coder:1.5b,1,2.1578947368421053,2.2,0.7472315789473684,17.083052631578948,17.726842105263156,16954.52,0.9232895568688448,0.05263157894736842,0.0,1.25,1.543714304
qwen2.5-coder:1.5b-instruct-q8_0,0,2.2,2.6,0.7707368421052632,11.771473684210527,24.137263157894736,19205.386315789474,1.0063627365154222,0.08421052631578947,0.0,1.91,1.543714304
qwen2.5-coder:3b,0,2.6473684210526316,3.183333333333333,0.7910736842105264,9.330105263157895,30.385473684210524,18139.34,1.0888059148759048,0.06315789473684211,0.0,2.26,3.085938688
qwen2.5-coder:3b-instruct-q4_K_M,0,2.642105263157895,3.1666666666666665,0.7910736842105264,9.409263157894737,30.159684210526315,18250.661052631578,1.0907326200202596,0.06315789473684211,0.0,2.26,3.085938688
qwen2.5-coder:3b-instruct-q8_0,0,2.7473684210526317,3.283333333333333,0.8203789473684211,6.412526315789473,47.63757894736842,21187.59157894737,0.9192784063350251,0.042105263157894736,0.0,3.62,3.085938688
qwen2.5:0.5b,1,1.3842105263157896,1.4833333333333334,0.6267263157894737,25.51084210526316,14.00263157894737,10388.067368421052,0.5900443166684166,0.15789473684210525,0.0,0.53,0.494032768
qwen2.5:0.5b-instruct-q4_K_M,1,1.3789473684210527,1.4833333333333334,0.6267263157894737,37.45242105263158,9.518105263157896,15189.941052631579,0.5635930961709091,0.15789473684210525,0.0,0.53,0.494032768
qwen2.5:0.5b-instruct-q8_0,1,1.4421052631578948,1.5833333333333333,0.7049578947368421,32.94115789473684,11.113684210526316,17547.793684210526,0.5689817234039677,0.24210526315789474,0.0,0.67,0.494032768
qwen2.5:1.5b,1,2.205263157894737,2.45,0.7780947368421053,13.531263157894736,22.17578947368421,13410.643157894738,0.9661690549676881,0.07368421052631578,0.0,1.25,1.543714304
qwen2.5:1.5b-instruct-q4_K_M,1,2.168421052631579,2.3666666666666667,0.7780947368421053,17.331473684210525,17.11463157894737,17243.02210526316,0.8890902782936763,0.07368421052631578,0.0,1.25,1.543714304
qwen2.5:1.5b-instruct-q8_0,1,2.142105263157895,2.2,0.7752842105263158,11.749263157894738,24.362842105263155,19179.514736842106,0.8802295333349041,0.042105263157894736,0.0,1.91,1.543714304
