pair,instruct_q,think_q,d_quality,d_safety,ins_trunc,think_trunc,tok_x,energy_x
Qwen3-4B 2507 (Q8),3.59,3.035,-0.5549999999999997,-0.20000000000000018,0.0,0.99,2.4172377438060098,2.3841063728645024
Qwen3-4B 2507 (Q4),3.36,2.865,-0.49499999999999966,-0.06000000000000005,0.01,1.0,2.3474298368894,2.3737693547662015
Phi-4-mini (Microsoft),2.46,2.46,0.0,0.020000000000000018,0.02,0.92,2.5793475709927245,2.951550604012837
Qwen2.5-3B-Instruct base (Q4),2.52,2.47,-0.04999999999999982,0.040000000000000036,0.07,0.66,1.7100872689938398,1.7295809514810787
"EXAONE 7.8B (LG, near-match)",3.14,2.125,-1.0150000000000001,-0.3600000000000003,0.0,0.12,2.028175719541225,1.9058962512015731
