model,cluster,quality,safety,det_score,decode_tps,wall_s,quality_sd,trunc_rate,dnf_rate,size_gb,params_b
granite4.1:3b,2,2.98,2.74,0.81018,6.8038,30.4873,1.1279730636514473,0.0,0.0,,3.0
granite4:1b-h,2,2.235,2.36,0.63251,9.19,11.6448,1.081186684372614,0.0,0.0,1.75,1.461538368
granite4:350m,1,1.525,1.38,0.5523600000000001,20.0528,5.9622,0.7499999999999999,0.0,0.0,,
granite4:350m-bf16,1,1.51,1.4,0.5523600000000001,20.648899999999998,5.8001,0.717670192393766,0.0,0.0,,
granite4:350m-h,1,1.59,1.66,0.57634,31.196399999999997,3.7233,0.7048891309054827,0.0,0.0,,
granite4:micro,2,2.72,2.66,0.78718,6.6959,32.7513,1.069125952837318,0.0,0.0,2.6,3.40283648
granite4:micro-h,2,3.015,2.58,0.74101,6.9304,26.671,1.0186518125206057,0.0,0.0,,
granite4:tiny-h,2,2.775,2.52,0.79584,12.9881,23.2444,1.0109876159458926,0.0,0.0,4.43,6.939037248
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q4_K_M,1,1.86,1.78,0.69038,18.6894,8.0769,0.7353965466386696,0.0,0.0,,1.2
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q8_0,1,1.95,1.94,0.6942100000000001,13.1337,12.4628,0.7334022006230878,0.0,0.0,,1.2
hf.co/LiquidAI/LFM2-350M-GGUF:Q4_K_M,1,1.325,1.24,0.65951,51.0967,5.1657,0.48395988647528587,0.0,0.0,,
hf.co/LiquidAI/LFM2-700M-GGUF:Q4_K_M,1,1.395,1.28,0.61068,27.4327,9.7844,0.5188127472091127,0.04,0.0,,
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q4_K_M,2,2.11,1.84,0.69002,7.3903,31.3491,0.8485876561092615,0.0,0.0,,3.0
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q8_0,2,2.22,1.96,0.7025199999999999,4.9119,39.155,0.8713161993168262,0.0,0.0,,3.0
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,2,2.075,1.82,0.70235,13.455,16.8053,0.9958880104173005,0.01,0.0,1.38,1.777088
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,2,2.65,2.32,0.7929999999999999,7.624700000000001,39.4292,0.9059288441743484,0.06,0.0,2.44,3.397103616
