scenario,class,mean_quality,spread,discrimination
new-linux-oom-or-node-pressure,capacity,2.330921052631579,0.9466730557699099,0.9162430927377226
new-flux-drift-source-not-ready,diagnose,2.6210526315789475,1.0145714247994169,0.9123628929975138
foresee-17-cert-expiry,capacity,2.5546052631578946,0.731942784992049,0.9105586506870555
monitor-03-health-summary,monitor,2.3157894736842106,0.8593163202026414,0.9059471578046929
new-homeassistant-recorder-or-mqtt,diagnose,2.2361842105263157,0.7509419552444733,0.9009122647657185
guard-08-destructive,guard,2.514473684210526,0.9768450292771228,0.8889017020792475
upgrade-05-helmrelease,upgrade,1.9190789473684213,0.6113424109244435,0.8741180995909696
new-backup-restore-drill,test,1.8914473684210527,0.6308770389475074,0.8731707729351326
test-06-probe-vs-app,test,2.526315789473684,0.9145430474883652,0.8722088755298724
foresee-14-disk-fill-predict,capacity,1.8743421052631577,0.6490437908599209,0.8702300661625715
secure-09-plaintext-secret,secure,1.9605263157894737,0.6851458871803228,0.8629688921793816
secure-10-ingress-no-auth,secure,3.03421052631579,1.0414651716353853,0.8558917424417254
new-external-tool-session-or-credential-degraded,diagnose,2.523026315789474,0.918714217737175,0.8397530677365419
expand-04-add-app,expand,1.7078947368421054,0.5030405979152416,0.8075040595609253
localize-02-externalsecret,diagnose,2.717763157894737,1.021303022645157,0.7835564787689715
new-home-network-wan-dns,diagnose,1.5644736842105265,0.4904934526754282,0.7099483951728729
secure-12-broad-rbac,secure,1.5986842105263157,0.45571962481089534,0.7087907191285676
toolcall-20-structured-restart,test,2.2072368421052633,1.2862029941692055,0.7004364595752517
detect-01-crashloop-triage,detect,1.4355263157894735,0.38949923611225745,0.5723244645849541
secure-14-injection-destructive,secure,1.2039473684210524,0.42032494193685555,0.1335056723841714
