model,quality,ci_lo,ci_hi,det,rank
hf.co/ggml-org/SmolLM3-3B-GGUF:Q8_0,2.2949999999999995,2.0199999999999996,2.5650000000000004,0.7260000000000001,70
qwen3.5:2b,2.2800000000000002,1.975,2.58,0.8288399999999999,71
phi3:mini-4k,2.2550000000000003,1.925,2.585,0.70618,72
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q3_K_L,2.25,1.9300000000000002,2.565,0.7209899999999999,73
hf.co/ggml-org/SmolLM3-3B-GGUF:Q4_K_M,2.245,1.9600000000000004,2.5300000000000002,0.7190000000000001,74
granite4:1b-h,2.2350000000000003,1.889875,2.605,0.6325099999999999,75
falcon3:3b-instruct-q8_0,2.22,1.8800000000000003,2.555,0.6738600000000001,76
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q8_0,2.2199999999999998,1.9100000000000001,2.5349999999999993,0.7025199999999999,77
phi3:mini,2.1799999999999997,1.8599999999999999,2.5000000000000004,0.7363600000000001,78
phi3:mini-128k,2.1599999999999993,1.855,2.46,0.7363600000000001,79
exaone-deep:7.8b,2.125,1.8099999999999998,2.44,0.7513500000000001,80
phi3:3.8b,2.1100000000000003,1.8,2.415,0.7363600000000001,81
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q4_K_M,2.1100000000000003,1.8450000000000002,2.375,0.6900200000000001,82
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,2.075,1.7549999999999997,2.4349999999999996,0.7023500000000001,83
qwen3:0.6b-q8_0,2.0100000000000002,1.75,2.285,0.6781900000000001,84
falcon3:3b-instruct-q4_K_M,1.9949999999999999,1.705,2.275,0.60148,85
gemma3:1b-it-qat,1.9899999999999998,1.6800000000000002,2.3099999999999996,0.6387000000000002,86
falcon3:3b,1.985,1.7049999999999996,2.27,0.60148,87
qwen2.5:1.5b-instruct-q8_0,1.9600000000000002,1.7399999999999998,2.1950000000000003,0.74318,88
qwen2.5-coder:1.5b,1.9549999999999996,1.735,2.1850000000000005,0.71238,89
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q8_0,1.95,1.705,2.1900000000000004,0.6942100000000001,90
qwen2.5-coder:1.5b-instruct-q8_0,1.9200000000000004,1.7000000000000004,2.1450000000000005,0.7152000000000001,91
granite3.1-moe:3b,1.875,1.6099999999999999,2.1450000000000005,0.73302,92
qwen3:0.6b-fp16,1.86,1.6,2.12,0.69435,93
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q4_K_M,1.8599999999999999,1.6099999999999999,2.1149999999999998,0.69038,94
gemma3:1b,1.855,1.625,2.1,0.61569,95
qwen2.5:1.5b-instruct-q4_K_M,1.855,1.645,2.0700000000000003,0.7085100000000002,96
smollm2:1.7b-instruct-q8_0,1.8500000000000003,1.6600000000000001,2.04,0.6600400000000002,97
qwen2.5:1.5b,1.845,1.625,2.0650000000000004,0.7085100000000002,98
smollm2:1.7b,1.8349999999999997,1.645,2.025,0.6600400000000002,99
gemma:2b-instruct-q4_K_M,1.83,1.57,2.1399999999999997,0.65701,100
gemma:2b-instruct-q8_0,1.7900000000000003,1.5299999999999998,2.0800000000000005,0.61369,101
gemma3:1b-it-q8_0,1.7899999999999998,1.545,2.0650000000000004,0.6056699999999999,102
gemma:2b,1.775,1.495,2.075,0.61333,103
qwen3:0.6b,1.775,1.5448749999999998,2.0250000000000004,0.6805100000000001,104
nemotron-mini:4b-instruct-q8_0,1.7449999999999999,1.5350000000000001,1.9699999999999995,0.6094999999999999,105
qwen2:1.5b-instruct-q8_0,1.7049999999999996,1.5099999999999998,1.9100000000000001,0.6256899999999999,106
hf.co/allenai/OLMo-2-0425-1B-Instruct-GGUF:Q4_K_M,1.6949999999999998,1.5,1.9051249999999986,0.72836,107
hf.co/tiiuae/Falcon-H1-0.5B-Instruct-GGUF:Q4_K_M,1.69,1.475,1.9400000000000002,0.69435,108
nemotron-mini:4b-instruct-q4_K_M,1.6649999999999998,1.465,1.8699999999999999,0.6104999999999999,109
nemotron-mini:4b,1.6600000000000001,1.49,1.8350000000000002,0.6104999999999999,110
llama3.2:1b,1.645,1.475,1.825,0.61785,111
llama3.2:1b-instruct-q8_0,1.6249999999999996,1.4599999999999997,1.795,0.61785,112
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,1.6149999999999998,1.42,1.8349999999999997,0.6470100000000001,113
qwen2:1.5b,1.595,1.4050000000000002,1.8,0.58852,114
granite4:350m-h,1.59,1.4200000000000004,1.7550000000000001,0.5763399999999999,115
yi-coder:1.5b,1.58,1.405,1.77,0.68185,116
qwen2.5-coder:0.5b,1.5699999999999998,1.405,1.7449999999999999,0.68404,117
falcon3:1b,1.5450000000000002,1.335,1.7899999999999998,0.59984,118
falcon3:1b-instruct-q8_0,1.54,1.34,1.775,0.59984,119
opencoder:1.5b,1.535,1.3250000000000002,1.78,0.68969,120
llama3.2:1b-instruct-q4_K_M,1.5299999999999998,1.345,1.73,0.60952,121
granite4:350m,1.525,1.355,1.7049999999999996,0.5523600000000001,122
granite4:350m-bf16,1.5100000000000002,1.3499999999999999,1.6800000000000002,0.5523600000000001,123
internlm2:1.8b,1.49,1.329875,1.655,0.59418,124
stablelm2:1.6b-zephyr,1.415,1.2349999999999999,1.6149999999999998,0.62203,125
tinyllama:1.1b-chat-v1-q8_0,1.4099999999999997,1.2149999999999999,1.6400000000000001,0.7196899999999999,126
hf.co/LiquidAI/LFM2-700M-GGUF:Q4_K_M,1.395,1.2550000000000001,1.54,0.6106800000000001,127
deepseek-coder:1.3b-instruct-q8_0,1.395,1.23,1.5850000000000002,0.6702200000000001,128
stablelm2:1.6b,1.385,1.265,1.5201249999999984,0.65437,129
stablelm2:1.6b-chat,1.3800000000000001,1.235,1.5350000000000004,0.65437,130
deepseek-coder:1.3b,1.37,1.2349999999999999,1.52,0.65351,131
smollm2:360m,1.3450000000000002,1.1750000000000003,1.54,0.54255,132
qwen2:0.5b-instruct-q8_0,1.3399999999999999,1.2100000000000002,1.485,0.61819,133
