model,family,org,arch_class,training_regime,thinking_capable,tools_capable,native_ctx,license,base_lineage,param_count,param_size,quant,size_gb,is_moe,bracket
gemma:2b,gemma,Google,dense,instruct,False,False,,Gemma,n/a,2506434560,3B,Q4_0,2.0,False,2-3B
gemma:2b-instruct-q8_0,gemma,Google,dense,instruct,False,False,,Gemma,n/a,2506434560,3B,Q8_0,2.99,False,2-3B
granite3.1-dense:2b,granite3.1-dense,IBM,dense,instruct,False,False,,Apache-2.0,n/a,2533531648,2.5B,Q4_K_M,2.07,False,2-3B
granite3.1-dense:2b-instruct-q8_0,granite3.1-dense,IBM,dense,instruct,False,True,131072.0,Apache-2.0,n/a,2533531648,2.5B,Q8_0,3.19,False,2-3B
granite3.1-moe:3b,granite3.1-moe,IBM,moe,instruct,False,False,,Apache-2.0,n/a,3298793472,3.3B,Q4_K_M,2.46,True,2-3B
granite3.2:2b,granite3.2,IBM,dense,instruct,False,False,,Apache-2.0,n/a,2533531648,2.5B,Q4_K_M,2.04,False,2-3B
granite3.2:2b-instruct-q4_K_M,granite3.2,IBM,dense,instruct,False,False,,Apache-2.0,n/a,2533531648,2.5B,Q4_K_M,2.04,False,2-3B
granite3.3:2b,granite3.3,IBM,dense,instruct,False,False,,Apache-2.0,n/a,2533539840,2.5B,Q4_K_M,2.04,False,2-3B
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,qwen2.5,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,1777088000,1.78B,Q4_K_M,1.38,False,1-2B
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,qwen2.5,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,3397103616,3.4B,Q4_K_M,2.44,False,2-3B
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,qwen3,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,4022468096,4.02B,Q4_K_M,3.32,False,3-4B
hf.co/unsloth/DeepSeek-R1-Distill-Qwen-1.5B-GGUF:Q4_K_M,deepseek-r1,DeepSeek,dense,reasoning,False,False,,MIT,distilled from Qwen2.5,1777088000,1.78B,Q4_K_M,1.38,False,1-2B
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,llama3.2,Meta,dense,instruct,False,False,,Llama-3.2-Community,n/a,1235814432,1.24B,Q4_K_M,1.09,False,0-1B
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,phi4-mini,Microsoft,dense,instruct,False,False,,MIT,n/a,3836021856,3.84B,Q4_K_M,3.21,False,3-4B
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,qwen3,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,4022468096,4.02B,Q4_K_M,3.32,False,3-4B
internlm2:1.8b,internlm2,Shanghai AI Lab,dense,instruct,False,False,,Apache-2.0(check),n/a,1889110016,1.9B,Q4_0,1.68,False,1-2B
llama3.2:1b-instruct-q8_0,llama3.2,Meta,dense,instruct,False,False,,Llama-3.2-Community,n/a,1235814432,1.2B,Q8_0,1.6,False,0-1B
llama3.2:3b-instruct-q8_0,llama3.2,Meta,dense,instruct,False,False,,Llama-3.2-Community,n/a,3212749888,3.2B,Q8_0,4.07,False,3-4B
nemotron-mini:4b,nemotron-mini,NVIDIA,dense,instruct,False,False,,NVIDIA-Open-Model,n/a,4190509056,4.2B,Q4_K_M,3.02,False,3-4B
nemotron-mini:4b-instruct-q4_K_M,nemotron-mini,NVIDIA,dense,instruct,False,False,,NVIDIA-Open-Model,n/a,4190509056,4.2B,Q4_K_M,3.02,False,3-4B
nemotron-mini:4b-instruct-q8_0,nemotron-mini,NVIDIA,dense,instruct,False,False,,NVIDIA-Open-Model,n/a,4190509056,4.2B,Q8_0,4.78,False,3-4B
phi3.5:3.8b,phi3.5,Microsoft,dense,instruct,False,False,,MIT,n/a,3821079648,3.8B,Q4_0,4.04,False,3-4B
phi3.5:3.8b-mini-instruct-q8_0,phi3.5,Microsoft,dense,instruct,False,False,,MIT,n/a,3821079648,3.8B,Q8_0,5.93,False,3-4B
