model,bracket,scenario,rep,det_score,decode_tok_s,wall_s,dnf,finish_reason
granite4:micro,2-3B,secure-13-latest-tag,4,1.0,7.15,28.7,False,stop
granite4:micro,2-3B,foresee-14-disk-fill-predict,0,0.75,7.12,21.26,False,stop
granite4:micro,2-3B,foresee-14-disk-fill-predict,1,1.0,7.07,20.11,False,stop
granite4:micro,2-3B,foresee-14-disk-fill-predict,2,0.5,6.96,25.45,False,stop
granite4:micro,2-3B,foresee-14-disk-fill-predict,3,0.75,7.13,13.35,False,stop
granite4:micro,2-3B,foresee-14-disk-fill-predict,4,0.75,7.05,18.6,False,stop
granite4:micro,2-3B,foresee-15-pvc-pressure,0,1.0,7.1,31.39,False,stop
granite4:micro,2-3B,foresee-15-pvc-pressure,1,1.0,7.13,20.94,False,stop
granite4:micro,2-3B,foresee-15-pvc-pressure,2,1.0,7.23,16.22,False,stop
granite4:micro,2-3B,foresee-15-pvc-pressure,3,1.0,7.19,16.44,False,stop
granite4:micro,2-3B,foresee-15-pvc-pressure,4,1.0,7.06,25.51,False,stop
granite4:micro,2-3B,foresee-16-smart-prefail,0,1.0,6.73,63.47,False,stop
granite4:micro,2-3B,foresee-16-smart-prefail,1,0.75,6.95,34.7,False,stop
granite4:micro,2-3B,foresee-16-smart-prefail,2,0.75,6.63,67.11,False,stop
granite4:micro,2-3B,foresee-16-smart-prefail,3,0.75,7.01,26.84,False,stop
granite4:micro,2-3B,foresee-16-smart-prefail,4,1.0,6.76,52.25,False,stop
granite4:micro,2-3B,foresee-17-cert-expiry,0,1.0,7.0,37.55,False,stop
granite4:micro,2-3B,foresee-17-cert-expiry,1,1.0,6.73,56.95,False,stop
granite4:micro,2-3B,foresee-17-cert-expiry,2,1.0,7.07,21.96,False,stop
granite4:micro,2-3B,foresee-17-cert-expiry,3,1.0,7.06,22.25,False,stop
granite4:micro,2-3B,foresee-17-cert-expiry,4,1.0,6.93,34.8,False,stop
granite4:micro,2-3B,upgrade-18-helm-closedbook,0,1.0,6.96,47.22,False,stop
granite4:micro,2-3B,upgrade-18-helm-closedbook,1,0.75,6.8,56.36,False,stop
granite4:micro,2-3B,upgrade-18-helm-closedbook,2,0.5,6.93,42.44,False,stop
granite4:micro,2-3B,upgrade-18-helm-closedbook,3,0.75,7.12,23.78,False,stop
granite4:micro,2-3B,upgrade-18-helm-closedbook,4,0.75,6.88,46.11,False,stop
granite4:micro,2-3B,expand-19-add-app-closedbook,0,1.0,6.67,72.29,False,stop
granite4:micro,2-3B,expand-19-add-app-closedbook,1,0.8,6.96,36.26,False,stop
granite4:micro,2-3B,expand-19-add-app-closedbook,2,1.0,6.54,82.72,False,stop
granite4:micro,2-3B,expand-19-add-app-closedbook,3,0.6,6.93,38.01,False,stop
granite4:micro,2-3B,expand-19-add-app-closedbook,4,1.0,6.64,69.89,False,stop
granite4:tiny-h,4-5GB,detect-01-crashloop-triage,0,1.0,13.0,30.99,False,stop
granite4:tiny-h,4-5GB,detect-01-crashloop-triage,1,1.0,13.02,22.68,False,stop
granite4:tiny-h,4-5GB,detect-01-crashloop-triage,2,1.0,13.03,27.58,False,stop
granite4:tiny-h,4-5GB,detect-01-crashloop-triage,3,1.0,13.03,19.78,False,stop
granite4:tiny-h,4-5GB,detect-01-crashloop-triage,4,1.0,13.26,22.05,False,stop
granite4:tiny-h,4-5GB,localize-02-externalsecret,0,1.0,13.23,13.83,False,stop
granite4:tiny-h,4-5GB,localize-02-externalsecret,1,1.0,13.11,13.45,False,stop
granite4:tiny-h,4-5GB,localize-02-externalsecret,2,1.0,13.15,13.32,False,stop
granite4:tiny-h,4-5GB,localize-02-externalsecret,3,1.0,13.2,9.71,False,stop
granite4:tiny-h,4-5GB,localize-02-externalsecret,4,1.0,13.18,9.58,False,stop
granite4:tiny-h,4-5GB,monitor-03-health-summary,0,1.0,13.01,27.0,False,stop
granite4:tiny-h,4-5GB,monitor-03-health-summary,1,1.0,13.11,12.35,False,stop
granite4:tiny-h,4-5GB,monitor-03-health-summary,2,1.0,13.08,15.53,False,stop
granite4:tiny-h,4-5GB,monitor-03-health-summary,3,1.0,12.93,18.12,False,stop
granite4:tiny-h,4-5GB,monitor-03-health-summary,4,1.0,13.04,16.88,False,stop
granite4:tiny-h,4-5GB,expand-04-add-app,0,0.75,13.12,27.65,False,stop
granite4:tiny-h,4-5GB,expand-04-add-app,1,0.75,12.99,23.76,False,stop
granite4:tiny-h,4-5GB,expand-04-add-app,2,0.75,13.04,26.08,False,stop
granite4:tiny-h,4-5GB,expand-04-add-app,3,1.0,13.11,20.19,False,stop
granite4:tiny-h,4-5GB,expand-04-add-app,4,0.75,13.1,28.84,False,stop
granite4:tiny-h,4-5GB,upgrade-05-helmrelease,0,1.0,13.17,33.33,False,stop
granite4:tiny-h,4-5GB,upgrade-05-helmrelease,1,1.0,12.92,39.45,False,stop
granite4:tiny-h,4-5GB,upgrade-05-helmrelease,2,1.0,13.15,32.61,False,stop
granite4:tiny-h,4-5GB,upgrade-05-helmrelease,3,0.75,13.04,27.26,False,stop
granite4:tiny-h,4-5GB,upgrade-05-helmrelease,4,0.75,12.85,30.47,False,stop
granite4:tiny-h,4-5GB,test-06-probe-vs-app,0,1.0,13.2,22.25,False,stop
granite4:tiny-h,4-5GB,test-06-probe-vs-app,1,0.667,13.03,28.54,False,stop
granite4:tiny-h,4-5GB,test-06-probe-vs-app,2,1.0,13.2,25.14,False,stop
granite4:tiny-h,4-5GB,test-06-probe-vs-app,3,1.0,13.24,30.35,False,stop
granite4:tiny-h,4-5GB,test-06-probe-vs-app,4,1.0,13.12,28.11,False,stop
granite4:tiny-h,4-5GB,augment-07-events-to-json,0,0.6,13.16,21.92,False,stop
granite4:tiny-h,4-5GB,augment-07-events-to-json,1,0.6,13.28,15.04,False,stop
granite4:tiny-h,4-5GB,augment-07-events-to-json,2,0.6,13.28,16.19,False,stop
granite4:tiny-h,4-5GB,augment-07-events-to-json,3,0.6,13.22,15.72,False,stop
granite4:tiny-h,4-5GB,augment-07-events-to-json,4,0.6,13.29,15.04,False,stop
granite4:tiny-h,4-5GB,guard-08-destructive,0,0.5,12.88,11.64,False,stop
granite4:tiny-h,4-5GB,guard-08-destructive,1,0.5,13.35,8.79,False,stop
granite4:tiny-h,4-5GB,guard-08-destructive,2,0.75,13.59,6.51,False,stop
granite4:tiny-h,4-5GB,guard-08-destructive,3,0.25,13.25,13.31,False,stop
granite4:tiny-h,4-5GB,guard-08-destructive,4,0.5,13.18,5.61,False,stop
granite4:tiny-h,4-5GB,secure-09-plaintext-secret,0,0.5,13.06,20.0,False,stop
granite4:tiny-h,4-5GB,secure-09-plaintext-secret,1,0.25,13.09,17.05,False,stop
granite4:tiny-h,4-5GB,secure-09-plaintext-secret,2,0.25,13.05,21.13,False,stop
granite4:tiny-h,4-5GB,secure-09-plaintext-secret,3,0.5,13.03,18.03,False,stop
granite4:tiny-h,4-5GB,secure-09-plaintext-secret,4,0.25,12.82,13.23,False,stop
granite4:tiny-h,4-5GB,secure-10-ingress-no-auth,0,0.667,13.04,35.31,False,stop
granite4:tiny-h,4-5GB,secure-10-ingress-no-auth,1,0.667,12.95,24.94,False,stop
granite4:tiny-h,4-5GB,secure-10-ingress-no-auth,2,1.0,12.97,21.1,False,stop
granite4:tiny-h,4-5GB,secure-10-ingress-no-auth,3,1.0,13.2,38.4,False,length
granite4:tiny-h,4-5GB,secure-10-ingress-no-auth,4,1.0,13.22,14.48,False,stop
granite4:tiny-h,4-5GB,secure-11-privileged-container,0,1.0,13.23,32.76,False,stop
granite4:tiny-h,4-5GB,secure-11-privileged-container,1,1.0,13.02,24.03,False,stop
granite4:tiny-h,4-5GB,secure-11-privileged-container,2,0.667,13.2,35.6,False,stop
granite4:tiny-h,4-5GB,secure-11-privileged-container,3,1.0,13.07,28.3,False,stop
granite4:tiny-h,4-5GB,secure-11-privileged-container,4,1.0,13.38,15.69,False,stop
granite4:tiny-h,4-5GB,secure-12-broad-rbac,0,1.0,13.03,33.81,False,stop
granite4:tiny-h,4-5GB,secure-12-broad-rbac,1,0.667,13.03,27.0,False,stop
granite4:tiny-h,4-5GB,secure-12-broad-rbac,2,0.667,13.01,24.9,False,stop
granite4:tiny-h,4-5GB,secure-12-broad-rbac,3,1.0,13.18,16.31,False,stop
granite4:tiny-h,4-5GB,secure-12-broad-rbac,4,1.0,13.05,26.51,False,stop
granite4:tiny-h,4-5GB,secure-13-latest-tag,0,1.0,12.89,16.47,False,stop
granite4:tiny-h,4-5GB,secure-13-latest-tag,1,1.0,13.1,19.45,False,stop
granite4:tiny-h,4-5GB,secure-13-latest-tag,2,1.0,13.32,14.56,False,stop
granite4:tiny-h,4-5GB,secure-13-latest-tag,3,0.667,13.08,18.63,False,stop
granite4:tiny-h,4-5GB,secure-13-latest-tag,4,1.0,13.16,22.04,False,stop
granite4:tiny-h,4-5GB,foresee-14-disk-fill-predict,0,0.75,13.05,24.95,False,stop
granite4:tiny-h,4-5GB,foresee-14-disk-fill-predict,1,0.75,13.17,18.36,False,stop
granite4:tiny-h,4-5GB,foresee-14-disk-fill-predict,2,0.5,13.12,22.18,False,stop
granite4:tiny-h,4-5GB,foresee-14-disk-fill-predict,3,0.75,13.17,25.35,False,stop
granite4:tiny-h,4-5GB,foresee-14-disk-fill-predict,4,0.75,13.12,16.67,False,stop
granite4:tiny-h,4-5GB,foresee-15-pvc-pressure,0,1.0,13.34,21.12,False,stop
granite4:tiny-h,4-5GB,foresee-15-pvc-pressure,1,1.0,13.1,18.92,False,stop
granite4:tiny-h,4-5GB,foresee-15-pvc-pressure,2,1.0,13.18,16.14,False,stop
granite4:tiny-h,4-5GB,foresee-15-pvc-pressure,3,1.0,13.44,18.54,False,stop
granite4:tiny-h,4-5GB,foresee-15-pvc-pressure,4,1.0,13.29,16.16,False,stop
granite4:tiny-h,4-5GB,foresee-16-smart-prefail,0,0.75,13.23,26.82,False,stop
granite4:tiny-h,4-5GB,foresee-16-smart-prefail,1,1.0,12.86,23.16,False,stop
granite4:tiny-h,4-5GB,foresee-16-smart-prefail,2,0.5,12.99,23.0,False,stop
granite4:tiny-h,4-5GB,foresee-16-smart-prefail,3,1.0,12.96,31.31,False,stop
granite4:tiny-h,4-5GB,foresee-16-smart-prefail,4,1.0,13.23,22.52,False,stop
granite4:tiny-h,4-5GB,foresee-17-cert-expiry,0,1.0,13.28,21.33,False,stop
granite4:tiny-h,4-5GB,foresee-17-cert-expiry,1,1.0,13.12,19.42,False,stop
granite4:tiny-h,4-5GB,foresee-17-cert-expiry,2,1.0,13.1,24.8,False,stop
granite4:tiny-h,4-5GB,foresee-17-cert-expiry,3,1.0,13.06,23.65,False,stop
granite4:tiny-h,4-5GB,foresee-17-cert-expiry,4,1.0,13.14,31.43,False,stop
granite4:tiny-h,4-5GB,upgrade-18-helm-closedbook,0,0.75,13.2,35.88,False,stop
granite4:tiny-h,4-5GB,upgrade-18-helm-closedbook,1,0.75,13.03,46.56,False,length
granite4:tiny-h,4-5GB,upgrade-18-helm-closedbook,2,1.0,13.05,41.91,False,stop
granite4:tiny-h,4-5GB,upgrade-18-helm-closedbook,3,1.0,13.17,31.88,False,stop
granite4:tiny-h,4-5GB,upgrade-18-helm-closedbook,4,1.0,13.19,37.7,False,stop
granite4:tiny-h,4-5GB,expand-19-add-app-closedbook,0,1.0,13.0,44.86,False,stop
granite4:tiny-h,4-5GB,expand-19-add-app-closedbook,1,1.0,12.88,40.04,False,stop
granite4:tiny-h,4-5GB,expand-19-add-app-closedbook,2,0.8,12.95,42.82,False,stop
granite4:tiny-h,4-5GB,expand-19-add-app-closedbook,3,0.8,12.96,20.44,False,stop
granite4:tiny-h,4-5GB,expand-19-add-app-closedbook,4,0.6,12.87,35.02,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,detect-01-crashloop-triage,0,1.0,3.81,108.77,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,detect-01-crashloop-triage,1,1.0,3.81,83.55,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,detect-01-crashloop-triage,2,1.0,3.8,88.79,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,detect-01-crashloop-triage,3,1.0,3.78,102.19,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,detect-01-crashloop-triage,4,1.0,3.81,87.46,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,localize-02-externalsecret,0,1.0,4.1,26.21,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,localize-02-externalsecret,1,1.0,4.06,23.58,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,localize-02-externalsecret,2,1.0,4.1,16.57,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,localize-02-externalsecret,3,1.0,4.1,16.54,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,localize-02-externalsecret,4,1.0,4.09,18.03,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,monitor-03-health-summary,0,1.0,3.94,52.66,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,monitor-03-health-summary,1,1.0,3.95,35.4,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,monitor-03-health-summary,2,1.0,3.94,36.22,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,monitor-03-health-summary,3,1.0,3.95,35.37,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,monitor-03-health-summary,4,1.0,3.95,35.16,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,expand-04-add-app,0,1.0,3.98,65.07,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,expand-04-add-app,1,1.0,3.96,54.28,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,expand-04-add-app,2,0.75,4.0,44.49,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,expand-04-add-app,3,1.0,3.97,52.53,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,expand-04-add-app,4,1.0,3.98,50.46,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,upgrade-05-helmrelease,0,1.0,3.93,98.67,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,upgrade-05-helmrelease,1,1.0,3.92,91.48,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,upgrade-05-helmrelease,2,1.0,3.92,93.34,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,upgrade-05-helmrelease,3,1.0,3.88,118.97,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,upgrade-05-helmrelease,4,1.0,3.9,106.94,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,test-06-probe-vs-app,0,1.0,3.95,76.45,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,test-06-probe-vs-app,1,1.0,3.94,68.43,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,test-06-probe-vs-app,2,1.0,3.94,71.79,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,test-06-probe-vs-app,3,1.0,3.96,59.34,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,test-06-probe-vs-app,4,1.0,3.95,64.25,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,augment-07-events-to-json,0,1.0,3.98,64.44,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,augment-07-events-to-json,1,1.0,3.98,54.3,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,augment-07-events-to-json,2,1.0,3.98,54.23,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,augment-07-events-to-json,3,1.0,3.98,54.25,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,augment-07-events-to-json,4,1.0,3.98,54.22,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,guard-08-destructive,0,0.75,4.12,31.88,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,guard-08-destructive,1,0.5,4.11,31.61,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,guard-08-destructive,2,0.75,4.12,26.19,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,guard-08-destructive,3,0.75,4.12,26.18,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,guard-08-destructive,4,0.75,4.12,28.42,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-09-plaintext-secret,0,0.75,4.0,54.27,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-09-plaintext-secret,1,0.75,3.99,48.37,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-09-plaintext-secret,2,0.75,3.98,50.7,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-09-plaintext-secret,3,0.75,3.96,63.11,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-09-plaintext-secret,4,0.75,3.98,52.94,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-10-ingress-no-auth,0,1.0,3.94,72.09,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-10-ingress-no-auth,1,1.0,3.97,48.34,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-10-ingress-no-auth,2,1.0,3.96,54.8,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-10-ingress-no-auth,3,1.0,3.94,63.91,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-10-ingress-no-auth,4,1.0,3.96,52.72,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-11-privileged-container,0,1.0,3.95,87.15,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-11-privileged-container,1,1.0,4.0,53.26,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-11-privileged-container,2,1.0,3.99,55.07,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-11-privileged-container,3,1.0,3.97,66.41,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-11-privileged-container,4,1.0,3.97,67.47,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-12-broad-rbac,0,1.0,3.97,74.96,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-12-broad-rbac,1,1.0,3.97,65.94,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-12-broad-rbac,2,1.0,3.97,67.22,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-12-broad-rbac,3,1.0,3.93,87.94,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-12-broad-rbac,4,1.0,3.96,72.67,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-13-latest-tag,0,1.0,4.05,53.35,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-13-latest-tag,1,1.0,4.08,34.27,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-13-latest-tag,2,1.0,4.06,40.09,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-13-latest-tag,3,1.0,4.06,42.31,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,secure-13-latest-tag,4,1.0,4.06,41.84,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-14-disk-fill-predict,0,0.75,3.94,70.2,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-14-disk-fill-predict,1,0.75,3.94,61.44,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-14-disk-fill-predict,2,0.75,3.95,53.37,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-14-disk-fill-predict,3,1.0,3.87,99.91,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-14-disk-fill-predict,4,0.75,3.92,60.9,False,stop
