model,param_count,param_size,quant,family
llama3.1:8b,8030261312,8.0B,Q4_K_M,llama
llama3.2:1b,1235814432,1.2B,Q8_0,llama
llama3.2:1b-instruct-q4_K_M,1235814432,1.2B,Q4_K_M,llama
llama3.2:1b-instruct-q8_0,1235814432,1.2B,Q8_0,llama
llama3.2:3b,3212749888,3.2B,Q4_K_M,llama
llama3.2:3b-instruct-q4_K_M,3212749888,3.2B,Q4_K_M,llama
llama3.2:3b-instruct-q8_0,3212749888,3.2B,Q8_0,llama
ministral-3:3b,3849090048,3.8B,Q4_K_M,mistral3
mistral:7b-instruct-q4_K_M,7241732096,7B,Q4_K_M,llama
nemotron-mini:4b,4190509056,4.2B,Q4_K_M,nemotron
nemotron-mini:4b-instruct-q4_K_M,4190509056,4.2B,Q4_K_M,nemotron
nemotron-mini:4b-instruct-q8_0,4190509056,4.2B,Q8_0,nemotron
olmo2:7b,7298617344,7.3B,Q4_K_M,olmo2
opencoder:1.5b,1905650880,1.9B,Q4_K_M,llama
phi3.5:3.8b,3821079648,3.8B,Q4_0,phi3
phi3.5:3.8b-mini-instruct-q8_0,3821079648,3.8B,Q8_0,phi3
phi3:3.8b,3821079648,3.8B,Q4_0,phi3
phi3:3.8b-mini-128k-instruct-q8_0,3821079648,3.8B,Q8_0,phi3
phi3:mini,3821079648,3.8B,Q4_0,phi3
phi3:mini-128k,3821079648,3.8B,Q4_0,phi3
phi3:mini-4k,3821079552,3.8B,Q4_K_M,phi3
phi4-mini,3836021856,3.8B,Q4_K_M,phi3
phi4-mini-reasoning,3836021856,3.8B,Q4_K_M,phi3
qwen2-math:1.5b,1543714304,1.5B,Q4_0,qwen2
qwen2.5-coder:0.5b,494032768,494.03M,Q4_K_M,qwen2
qwen2.5-coder:1.5b,1543714304,1.5B,Q4_K_M,qwen2
qwen2.5-coder:1.5b-instruct-q8_0,1543714304,1.5B,Q8_0,qwen2
qwen2.5-coder:3b,3085938688,3.1B,Q4_K_M,qwen2
qwen2.5-coder:3b-instruct-q4_K_M,3085938688,3.1B,Q4_K_M,qwen2
qwen2.5-coder:3b-instruct-q8_0,3085938688,3.1B,Q8_0,qwen2
qwen2.5:0.5b,494032768,494.03M,Q4_K_M,qwen2
qwen2.5:0.5b-instruct-q4_K_M,494032768,494.03M,Q4_K_M,qwen2
qwen2.5:0.5b-instruct-q8_0,494032768,494.03M,Q8_0,qwen2
qwen2.5:1.5b,1543714304,1.5B,Q4_K_M,qwen2
qwen2.5:1.5b-instruct-q4_K_M,1543714304,1.5B,Q4_K_M,qwen2
qwen2.5:1.5b-instruct-q8_0,1543714304,1.5B,Q8_0,qwen2
qwen2.5:3b,3085938688,3.1B,Q4_K_M,qwen2
qwen2.5:3b-instruct-q4_K_M,3085938688,3.1B,Q4_K_M,qwen2
qwen2.5:3b-instruct-q8_0,3085938688,3.1B,Q8_0,qwen2
qwen2.5:7b,7615616512,7.6B,Q4_K_M,qwen2
qwen2:0.5b-instruct-q8_0,494032768,494.03M,Q8_0,qwen2
qwen2:1.5b,1543714304,1.5B,Q4_0,qwen2
qwen2:1.5b-instruct-q8_0,1543714304,1.5B,Q8_0,qwen2
qwen3.5:2b,2274069824,2.3B,Q8_0,qwen35
qwen3:0.6b,751632384,751.63M,Q4_K_M,qwen3
qwen3:0.6b-fp16,751632384,751.63M,F16,qwen3
qwen3:0.6b-q8_0,751632384,751.63M,Q8_0,qwen3
qwen3:1.7b,2031739904,2.0B,Q4_K_M,qwen3
qwen3:1.7b-fp16,2031739904,2.0B,F16,qwen3
qwen3:1.7b-q8_0,2031739904,2.0B,Q8_0,qwen3
qwen3:4b,4022468096,4.0B,Q4_K_M,qwen3
qwen3:4b-instruct-2507-q4_K_M,4022468096,4.0B,Q4_K_M,qwen3
qwen3:4b-instruct-2507-q8_0,4022468096,4.0B,Q8_0,qwen3
qwen3:4b-q8_0,4022468096,4.0B,Q8_0,qwen3
qwen3:4b-thinking-2507-q4_K_M,4022468096,4.0B,Q4_K_M,qwen3
qwen3:4b-thinking-2507-q8_0,4022468096,4.0B,Q8_0,qwen3
qwen3:8b,8190735360,8.2B,Q4_K_M,qwen3
sailor2:1b,988064640,988.06M,Q8_0,qwen2
smallthinker:3b-preview-q4_K_M,3397103616,3.4B,Q4_K_M,qwen2
smollm2:1.7b,1711376384,1.7B,Q8_0,llama
smollm2:1.7b-instruct-q8_0,1711376384,1.7B,Q8_0,llama
smollm2:135m,134515008,134.52M,F16,llama
smollm2:135m-instruct-q8_0,134515008,134.52M,Q8_0,llama
smollm2:360m,361821120,361.82M,F16,llama
smollm2:360m-instruct-q8_0,361821120,361.82M,Q8_0,llama
smollm:1.7b,1711376384,1.7B,Q4_0,llama
smollm:360m,361821120,361.82M,Q4_0,llama
stablelm2:1.6b,1644515328,2B,Q4_0,stablelm
stablelm2:1.6b-chat,1644515328,2B,Q4_0,stablelm
stablelm2:1.6b-zephyr,1644515328,2B,Q4_0,stablelm
starcoder2:3b,3030371328,3B,Q4_0,starcoder2
starcoder2:3b-q6_K,3030371328,3B,Q6_K,starcoder2
starcoder2:3b-q8_0,3030371328,3B,Q8_0,starcoder2
tinyllama:1.1b,1100048384,1B,Q4_0,llama
tinyllama:1.1b-chat-v1-q8_0,1100048384,1B,Q8_0,llama
yi-coder:1.5b,1476495360,1.5B,Q4_0,llama
