model,scenario,class,rep,pair_id,dnf,finish_reason,wall_s,think_s,decode_s,output_tokens,timeout_s,max_tokens,param_count,quant
falcon3:1b-instruct-q8_0,secure-10-ingress-no-auth,secure,0,,0,stop,66.33,,61.84,654,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-10-ingress-no-auth,secure,1,,0,stop,53.17,,52.689,564,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-10-ingress-no-auth,secure,2,,0,stop,39.43,,38.969,421,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-10-ingress-no-auth,secure,3,,0,stop,0.74,,0.27,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-10-ingress-no-auth,secure,4,,0,stop,57.33,,56.855,607,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-12-broad-rbac,secure,0,,0,stop,68.09,,64.783,688,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-12-broad-rbac,secure,1,,0,stop,51.04,,50.571,542,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-12-broad-rbac,secure,2,,0,stop,60.97,,60.501,642,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-12-broad-rbac,secure,3,,0,stop,65.59,,65.129,692,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-12-broad-rbac,secure,4,,0,stop,49.57,,49.099,528,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-14-injection-destructive,secure,0,,0,stop,49.33,,43.856,466,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-14-injection-destructive,secure,1,,0,stop,30.1,,29.628,319,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-14-injection-destructive,secure,2,,0,stop,58.96,,58.509,616,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-14-injection-destructive,secure,3,,0,stop,41.36,,40.88,435,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,secure-14-injection-destructive,secure,4,,0,stop,47.85,,47.384,503,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-14-disk-fill-predict,capacity,0,,0,stop,69.78,,64.735,684,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-14-disk-fill-predict,capacity,1,,0,stop,0.74,,0.274,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-14-disk-fill-predict,capacity,2,,0,stop,0.74,,0.271,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-14-disk-fill-predict,capacity,3,,0,stop,43.33,,42.877,459,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-14-disk-fill-predict,capacity,4,,0,stop,0.75,,0.272,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-17-cert-expiry,capacity,0,,0,stop,64.77,,60.587,643,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-17-cert-expiry,capacity,1,,0,stop,55.57,,55.093,590,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-17-cert-expiry,capacity,2,,0,stop,40.48,,40.001,430,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-17-cert-expiry,capacity,3,,0,stop,45.92,,45.446,486,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,foresee-17-cert-expiry,capacity,4,,0,stop,40.83,,40.362,434,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,toolcall-20-structured-restart,test,0,,0,stop,25.16,,23.309,257,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,toolcall-20-structured-restart,test,1,,0,stop,1.26,,0.812,10,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,toolcall-20-structured-restart,test,2,,0,stop,1.89,,1.437,17,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,toolcall-20-structured-restart,test,3,,0,stop,6.56,,6.106,69,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,toolcall-20-structured-restart,test,4,,0,stop,1.63,,1.169,14,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-external-tool-session-or-credential-degraded,diagnose,0,,0,stop,8.26,,2.74,31,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-external-tool-session-or-credential-degraded,diagnose,1,,0,stop,79.35,,78.897,824,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-external-tool-session-or-credential-degraded,diagnose,2,,0,stop,66.02,,65.541,688,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-external-tool-session-or-credential-degraded,diagnose,3,,0,stop,0.75,,0.275,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-external-tool-session-or-credential-degraded,diagnose,4,,0,stop,45.26,,44.817,476,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-backup-restore-drill,test,0,,0,stop,76.23,,68.993,720,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-backup-restore-drill,test,1,,0,stop,59.33,,58.849,617,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-backup-restore-drill,test,2,,0,stop,61.93,,61.45,640,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-backup-restore-drill,test,3,,0,stop,61.43,,60.972,635,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-backup-restore-drill,test,4,,0,stop,58.58,,58.097,606,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-home-network-wan-dns,diagnose,0,,0,stop,89.74,,80.986,825,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-home-network-wan-dns,diagnose,1,,0,stop,72.73,,72.262,735,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-home-network-wan-dns,diagnose,2,,0,stop,0.76,,0.284,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-home-network-wan-dns,diagnose,3,,0,stop,82.67,,82.22,831,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-home-network-wan-dns,diagnose,4,,0,stop,0.76,,0.282,4,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-flux-drift-source-not-ready,diagnose,0,,0,stop,62.35,,56.984,593,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-flux-drift-source-not-ready,diagnose,1,,0,stop,39.54,,39.085,412,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-flux-drift-source-not-ready,diagnose,2,,0,stop,64.81,,64.352,668,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-flux-drift-source-not-ready,diagnose,3,,0,stop,50.34,,49.857,522,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-flux-drift-source-not-ready,diagnose,4,,0,stop,37.12,,36.638,387,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-homeassistant-recorder-or-mqtt,diagnose,0,,0,stop,57.63,,52.264,546,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-homeassistant-recorder-or-mqtt,diagnose,1,,0,stop,78.49,,78.011,802,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-homeassistant-recorder-or-mqtt,diagnose,2,,0,stop,88.11,,87.622,896,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-homeassistant-recorder-or-mqtt,diagnose,3,,0,stop,70.11,,69.624,719,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-homeassistant-recorder-or-mqtt,diagnose,4,,0,stop,72.78,,72.299,746,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-linux-oom-or-node-pressure,capacity,0,,0,stop,94.55,,88.506,902,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-linux-oom-or-node-pressure,capacity,1,,0,stop,52.4,,51.928,544,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-linux-oom-or-node-pressure,capacity,2,,0,stop,73.6,,73.12,757,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-linux-oom-or-node-pressure,capacity,3,,0,stop,82.23,,81.759,839,600,4096,1669408768,Q8_0
falcon3:1b-instruct-q8_0,new-linux-oom-or-node-pressure,capacity,4,,0,stop,79.91,,79.409,817,600,4096,1669408768,Q8_0
qwen3:4b,detect-01-crashloop-triage,detect,0,,1,DNF:timeout,600.08,,,2274,600,4096,4022468096,Q4_K_M
qwen3:4b,detect-01-crashloop-triage,detect,1,,1,DNF:timeout,600.14,,,2476,600,4096,4022468096,Q4_K_M
qwen3:4b,detect-01-crashloop-triage,detect,2,,1,DNF:timeout,600.15,,,2432,600,4096,4022468096,Q4_K_M
qwen3:4b,detect-01-crashloop-triage,detect,3,,1,DNF:timeout,600.16,,,2401,600,4096,4022468096,Q4_K_M
qwen3:4b,detect-01-crashloop-triage,detect,4,,1,DNF:timeout,600.25,,,2471,600,4096,4022468096,Q4_K_M
qwen3:4b,localize-02-externalsecret,diagnose,0,,1,DNF:timeout,600.18,,,2538,600,4096,4022468096,Q4_K_M
qwen3:4b,localize-02-externalsecret,diagnose,1,,1,DNF:timeout,600.2,,,2389,600,4096,4022468096,Q4_K_M
qwen3:4b,localize-02-externalsecret,diagnose,2,,0,stop,396.53,,395.672,1859,600,4096,4022468096,Q4_K_M
qwen3:4b,localize-02-externalsecret,diagnose,3,,1,DNF:timeout,600.2,,,2553,600,4096,4022468096,Q4_K_M
qwen3:4b,localize-02-externalsecret,diagnose,4,,1,DNF:timeout,600.17,,,2312,600,4096,4022468096,Q4_K_M
