== 25 models x 19 scenarios ==
== idle power baseline: 0.6 W ==
[0-1B] qwen2.5:0.5b  warmup=1.71s  (R=1, temp=0.0)
    upgrade-05-helmrelease       r0 det=2/4 28.83tok/s 10.06s stop
    test-06-probe-vs-app         r0 det=3/3 29.33tok/s 3.88s stop
    augment-07-events-to-json    r0 det=1/5 28.83tok/s 7.88s stop
    guard-08-destructive         r0 det=1/4 30.61tok/s 2.2s stop
    secure-09-plaintext-secret   r0 det=1/4 28.85tok/s 4.06s stop
    secure-10-ingress-no-auth    r0 det=2/3 26.52tok/s 9.95s stop
    secure-11-privileged-container r0 det=1/3 27.76tok/s 2.72s stop
    secure-12-broad-rbac         r0 det=3/3 27.91tok/s 4.31s stop
    secure-13-latest-tag         r0 det=1/3 29.62tok/s 6.45s stop
    foresee-14-disk-fill-predict r0 det=2/4 29.44tok/s 3.36s stop
    foresee-15-pvc-pressure      r0 det=3/4 30.03tok/s 2.5s stop
    foresee-16-smart-prefail     r0 det=2/4 28.86tok/s 7.92s stop
    foresee-17-cert-expiry       r0 det=3/5 29.22tok/s 4.93s stop
    upgrade-18-helm-closedbook   r0 det=2/4 28.39tok/s 14.18s stop
    expand-19-add-app-closedbook r0 det=3/5 27.53tok/s 22.71s length
[1-2B] qwen3:1.7b  warmup=3.5s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 15.91tok/s 16.33s stop
    localize-02-externalsecret   r0 det=3/3 17.45tok/s 6.93s stop
    monitor-03-health-summary    r0 det=4/4 17.0tok/s 10.16s stop
    expand-04-add-app            r0 det=2/4 16.76tok/s 18.87s stop
    upgrade-05-helmrelease       r0 det=3/4 15.71tok/s 19.75s stop
    test-06-probe-vs-app         r0 det=3/3 17.17tok/s 9.87s stop
    augment-07-events-to-json    r0 det=5/5 16.95tok/s 15.04s stop
    guard-08-destructive         r0 det=2/4 17.83tok/s 6.62s stop
    secure-09-plaintext-secret   r0 det=2/4 17.12tok/s 13.27s stop
    secure-10-ingress-no-auth    r0 det=3/3 17.43tok/s 7.12s stop
    secure-11-privileged-container r0 det=3/3 17.51tok/s 8.86s stop
    secure-12-broad-rbac         r0 det=3/3 15.81tok/s 21.32s stop
    secure-13-latest-tag         r0 det=3/3 17.46tok/s 9.86s stop
    foresee-14-disk-fill-predict r0 det=1/4 17.42tok/s 8.49s stop
    foresee-15-pvc-pressure      r0 det=4/4 17.51tok/s 6.69s stop
    foresee-16-smart-prefail     r0 det=3/4 16.8tok/s 19.74s stop
    foresee-17-cert-expiry       r0 det=5/5 15.9tok/s 10.27s stop
    upgrade-18-helm-closedbook   r0 det=4/4 16.54tok/s 21.59s stop
    expand-19-add-app-closedbook r0 det=2/5 17.06tok/s 16.87s stop
[1-2B] smollm2:1.7b  warmup=3.37s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 10.69tok/s 34.35s stop
    localize-02-externalsecret   r0 det=3/3 11.86tok/s 8.33s stop
    monitor-03-health-summary    r0 det=4/4 11.3tok/s 22.98s stop
    expand-04-add-app            r0 det=4/4 10.61tok/s 60.37s length
    upgrade-05-helmrelease       r0 det=1/4 10.74tok/s 59.76s length
    test-06-probe-vs-app         r0 det=2/3 11.09tok/s 19.25s stop
    augment-07-events-to-json    r0 det=3/5 11.5tok/s 21.55s stop
    guard-08-destructive         r0 det=2/4 11.7tok/s 7.57s stop
    secure-09-plaintext-secret   r0 det=2/4 11.01tok/s 16.55s stop
    secure-10-ingress-no-auth    r0 det=2/3 11.58tok/s 14.37s stop
    secure-11-privileged-container r0 det=3/3 11.08tok/s 26.71s stop
    secure-12-broad-rbac         r0 det=2/3 11.63tok/s 15.14s stop
    secure-13-latest-tag         r0 det=2/3 11.32tok/s 9.21s stop
    foresee-14-disk-fill-predict r0 det=2/4 11.12tok/s 14.53s stop
    foresee-15-pvc-pressure      r0 det=3/4 11.95tok/s 6.59s stop
    foresee-16-smart-prefail     r0 det=1/4 11.79tok/s 8.81s stop
    foresee-17-cert-expiry       r0 det=4/5 11.64tok/s 11.7s stop
    upgrade-18-helm-closedbook   r0 det=2/4 11.03tok/s 25.4s stop
    expand-19-add-app-closedbook r0 det=1/5 11.39tok/s 40.51s stop
[1-2B] qwen2.5:1.5b  warmup=2.91s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=2/3 19.0tok/s 10.67s stop
    localize-02-externalsecret   r0 det=3/3 18.05tok/s 9.78s stop
    monitor-03-health-summary    r0 det=4/4 17.71tok/s 13.47s stop
    expand-04-add-app            r0 det=2/4 18.07tok/s 35.87s length
    upgrade-05-helmrelease       r0 det=4/4 19.02tok/s 23.2s stop
    test-06-probe-vs-app         r0 det=3/3 17.61tok/s 24.59s stop
    augment-07-events-to-json    r0 det=3/5 19.5tok/s 13.63s stop
    guard-08-destructive         r0 det=2/4 19.93tok/s 11.74s stop
    secure-09-plaintext-secret   r0 det=3/4 18.23tok/s 23.71s stop
    secure-10-ingress-no-auth    r0 det=3/3 19.05tok/s 24.36s stop
    secure-11-privileged-container r0 det=2/3 18.72tok/s 17.51s stop
    secure-12-broad-rbac         r0 det=3/3 17.75tok/s 17.71s stop
    secure-13-latest-tag         r0 det=3/3 19.26tok/s 9.27s stop
    foresee-14-disk-fill-predict r0 det=1/4 19.44tok/s 9.54s stop
    foresee-15-pvc-pressure      r0 det=4/4 19.79tok/s 12.44s stop
    foresee-16-smart-prefail     r0 det=4/4 18.05tok/s 18.06s stop
    foresee-17-cert-expiry       r0 det=4/5 19.8tok/s 10.35s stop
    upgrade-18-helm-closedbook   r0 det=2/4 19.45tok/s 18.0s stop
    expand-19-add-app-closedbook r0 det=1/5 18.33tok/s 34.58s length
[1-2B] deepseek-r1:1.5b  warmup=2.9s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 19.85tok/s 23.8s stop
    localize-02-externalsecret   r0 det=1/3 18.61tok/s 29.45s length
    monitor-03-health-summary    r0 det=4/4 17.67tok/s 19.44s stop
    expand-04-add-app            r0 det=0/4 18.56tok/s 34.96s length
    upgrade-05-helmrelease       r0 det=3/4 18.42tok/s 31.08s stop
    test-06-probe-vs-app         r0 det=3/3 18.6tok/s 29.07s length
    augment-07-events-to-json    r0 det=0/5 19.42tok/s 28.26s length
    guard-08-destructive         r0 det=2/4 19.33tok/s 16.56s stop
    secure-09-plaintext-secret   r0 det=0/4 19.07tok/s 28.79s length
    secure-10-ingress-no-auth    r0 det=3/3 18.29tok/s 29.78s length
    secure-11-privileged-container r0 det=1/3 18.9tok/s 28.94s length
    secure-12-broad-rbac         r0 det=3/3 18.61tok/s 28.7s length
    secure-13-latest-tag         r0 det=2/3 19.63tok/s 26.93s length
    foresee-14-disk-fill-predict r0 det=0/4 19.82tok/s 27.82s length
    foresee-15-pvc-pressure      r0 det=1/4 18.03tok/s 29.55s length
    foresee-16-smart-prefail     r0 det=2/4 17.72tok/s 30.01s stop
    foresee-17-cert-expiry       r0 det=5/5 18.56tok/s 32.34s length
    upgrade-18-helm-closedbook   r0 det=1/4 18.5tok/s 34.21s length
    expand-19-add-app-closedbook r0 det=1/5 18.95tok/s 33.83s length
[1-2B] stablelm2:1.6b  warmup=2.69s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 18.11tok/s 29.52s stop
    localize-02-externalsecret   r0 det=3/3 19.13tok/s 12.96s stop
    monitor-03-health-summary    r0 det=4/4 19.38tok/s 13.4s stop
    expand-04-add-app            r0 det=3/4 18.51tok/s 33.5s stop
    upgrade-05-helmrelease       r0 det=3/4 20.57tok/s 16.51s stop
    test-06-probe-vs-app         r0 det=1/3 18.64tok/s 26.11s stop
    augment-07-events-to-json    r0 det=3/5 18.85tok/s 16.71s stop
    guard-08-destructive         r0 det=1/4 22.23tok/s 5.78s stop
    secure-09-plaintext-secret   r0 det=2/4 20.63tok/s 15.35s stop
    secure-10-ingress-no-auth    r0 det=3/3 19.46tok/s 16.94s stop
    secure-11-privileged-container r0 det=3/3 19.76tok/s 21.77s stop
    secure-12-broad-rbac         r0 det=2/3 21.69tok/s 13.0s stop
    secure-13-latest-tag         r0 det=3/3 21.92tok/s 10.63s stop
    foresee-14-disk-fill-predict r0 det=3/4 18.37tok/s 24.48s stop
    foresee-15-pvc-pressure      r0 det=4/4 18.93tok/s 16.27s stop
    foresee-16-smart-prefail     r0 det=2/4 18.53tok/s 19.76s stop
    foresee-17-cert-expiry       r0 det=5/5 20.7tok/s 11.71s stop
    upgrade-18-helm-closedbook   r0 det=3/4 20.8tok/s 15.01s stop
    expand-19-add-app-closedbook r0 det=1/5 17.94tok/s 30.8s stop
[2-3B] granite4:micro  warmup=3.82s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=2/3 9.16tok/s 19.48s stop
    localize-02-externalsecret   r0 det=3/3 9.26tok/s 13.92s stop
    monitor-03-health-summary    r0 det=3/4 9.04tok/s 19.88s stop
